Classifier,BatchSize,TotalTime,Accuracy,ConfusionMatrix
LogReg,19000,0.467,90.9303,"[[5375, 5, 19, 13, 15, 4, 73, 6, 49, 1], [1, 5536, 120, 280, 225, 71, 193, 82, 73, 74], [21, 18, 5585, 88, 11, 1, 36, 84, 43, 1], [4, 3, 40, 5581, 15, 40, 1, 85, 20, 30], [36, 7, 28, 1, 5318, 1, 110, 41, 7, 173], [6, 12, 23, 517, 87, 4689, 51, 22, 75, 57], [88, 26, 0, 1, 23, 91, 5515, 0, 114, 0], [0, 40, 37, 119, 173, 2, 0, 5601, 15, 110], [83, 41, 50, 51, 90, 45, 59, 61, 4982, 233], [57, 22, 8, 142, 264, 0, 4, 154, 17, 5145]]"
LogReg,18000,0.5312,90.8348,"[[5359, 5, 21, 15, 16, 6, 81, 6, 50, 1], [1, 5536, 124, 274, 206, 73, 203, 82, 79, 77], [21, 18, 5569, 90, 11, 1, 38, 92, 47, 1], [4, 3, 39, 5574, 15, 40, 1, 89, 20, 34], [36, 8, 29, 1, 5316, 1, 110, 39, 6, 176], [6, 10, 23, 513, 92, 4690, 51, 22, 74, 58], [85, 24, 0, 1, 23, 93, 5524, 0, 108, 0], [0, 41, 34, 112, 169, 2, 0, 5606, 16, 117], [89, 42, 49, 54, 93, 44, 60, 63, 4949, 252], [55, 23, 9, 137, 267, 0, 4, 156, 14, 5148]]"
LogReg,17000,0.4369,90.4785,"[[5331, 5, 20, 22, 16, 6, 96, 6, 57, 1], [0, 5416, 131, 274, 270, 75, 221, 98, 93, 77], [19, 18, 5551, 92, 11, 1, 44, 99, 52, 1], [4, 3, 40, 5551, 22, 39, 1, 106, 21, 32], [35, 7, 28, 1, 5313, 1, 114, 42, 6, 175], [6, 10, 26, 512, 98, 4675, 50, 29, 77, 56], [84, 24, 0, 1, 29, 96, 5509, 0, 115, 0], [0, 41, 32, 106, 167, 2, 0, 5628, 16, 105], [88, 42, 47, 49, 95, 45, 58, 66, 4963, 242], [57, 23, 8, 140, 277, 0, 4, 162, 17, 5125]]"
LinDisc,6000,0.1574,90.2517,"[[5260, 14, 13, 23, 36, 1, 75, 22, 115, 1], [0, 5642, 337, 86, 5, 46, 91, 322, 50, 76], [20, 38, 5528, 9, 1, 0, 23, 236, 32, 1], [2, 26, 34, 5224, 0, 24, 3, 463, 23, 20], [20, 141, 41, 0, 4934, 0, 92, 12, 60, 422], [10, 19, 13, 295, 3, 4960, 62, 47, 89, 41], [112, 42, 36, 30, 123, 51, 5296, 0, 166, 2], [0, 66, 40, 2, 31, 1, 0, 5903, 31, 23], [86, 66, 34, 5, 57, 28, 83, 71, 4766, 499], [28, 32, 9, 108, 50, 1, 22, 112, 35, 5416]]"
LogReg,16000,0.3964,90.105,"[[5307, 5, 21, 33, 16, 6, 105, 6, 60, 1], [1, 5358, 142, 294, 251, 79, 248, 83, 94, 105], [19, 18, 5552, 92, 10, 1, 45, 96, 53, 2], [4, 5, 40, 5549, 21, 39, 1, 108, 20, 32], [35, 7, 29, 1, 5298, 1, 116, 43, 8, 184], [7, 10, 24, 533, 97, 4653, 54, 31, 74, 56], [82, 24, 0, 1, 24, 111, 5488, 0, 128, 0], [0, 42, 34, 109, 161, 2, 0, 5598, 16, 135], [92, 43, 49, 57, 93, 45, 66, 72, 4901, 277], [52, 24, 9, 144, 262, 0, 4, 166, 13, 5139]]"
LogReg,13000,0.354,89.9072,"[[5305, 5, 22, 34, 17, 6, 108, 7, 55, 1], [2, 5424, 127, 297, 236, 80, 255, 70, 73, 91], [21, 18, 5553, 103, 12, 1, 40, 95, 43, 2], [5, 4, 39, 5554, 21, 44, 2, 100, 19, 31], [34, 8, 27, 1, 5298, 2, 121, 42, 6, 183], [7, 11, 28, 592, 98, 4608, 54, 29, 70, 42], [78, 28, 0, 1, 24, 120, 5494, 0, 113, 0], [0, 42, 35, 125, 172, 3, 0, 5534, 13, 173], [103, 45, 53, 55, 100, 52, 71, 74, 4860, 282], [56, 23, 8, 156, 292, 0, 5, 164, 12, 5097]]"
LogReg,14000,0.3986,89.8032,"[[5297, 5, 22, 36, 18, 6, 112, 7, 56, 1], [2, 5369, 134, 296, 254, 92, 260, 72, 72, 104], [19, 18, 5557, 94, 11, 1, 47, 88, 51, 2], [5, 5, 41, 5548, 23, 42, 2, 104, 17, 32], [34, 8, 27, 1, 5296, 2, 113, 44, 8, 189], [7, 10, 26, 578, 101, 4616, 55, 36, 70, 40], [76, 25, 0, 1, 28, 124, 5502, 0, 102, 0], [0, 42, 34, 124, 168, 3, 0, 5528, 17, 181], [109, 44, 53, 58, 102, 49, 73, 74, 4846, 287], [54, 24, 9, 154, 276, 0, 4, 171, 14, 5107]]"
LogReg,15000,0.3611,89.7828,"[[5307, 5, 22, 34, 17, 6, 109, 6, 53, 1], [2, 5348, 143, 297, 262, 88, 255, 68, 80, 112], [21, 18, 5550, 90, 10, 1, 49, 97, 50, 2], [5, 5, 42, 5554, 22, 40, 2, 102, 17, 30], [34, 6, 28, 1, 5296, 2, 120, 42, 7, 186], [7, 10, 26, 577, 105, 4608, 57, 35, 70, 44], [81, 22, 0, 1, 29, 118, 5482, 0, 125, 0], [0, 42, 34, 120, 177, 3, 0, 5528, 14, 179], [115, 42, 52, 60, 101, 45, 70, 72, 4864, 274], [54, 24, 9, 154, 276, 0, 4, 162, 13, 5117]]"
LogReg,10000,0.2686,89.6191,"[[5296, 5, 27, 32, 16, 5, 118, 7, 53, 1], [0, 5404, 135, 265, 245, 65, 270, 68, 65, 138], [22, 19, 5544, 100, 12, 1, 50, 91, 47, 2], [5, 5, 43, 5568, 21, 42, 2, 83, 17, 33], [33, 7, 26, 1, 5302, 1, 121, 42, 8, 181], [7, 11, 31, 657, 103, 4526, 64, 25, 66, 49], [75, 31, 0, 1, 21, 112, 5498, 0, 120, 0], [0, 42, 35, 123, 182, 2, 0, 5521, 16, 176], [107, 52, 56, 64, 101, 47, 76, 78, 4791, 323], [55, 25, 8, 154, 278, 0, 5, 164, 16, 5108]]"
LogReg,12000,0.3089,89.5969,"[[5301, 5, 24, 36, 16, 6, 112, 7, 52, 1], [1, 5318, 130, 340, 265, 68, 269, 67, 81, 116], [21, 19, 5559, 108, 11, 1, 38, 87, 42, 2], [5, 5, 40, 5573, 19, 42, 2, 83, 17, 33], [34, 6, 25, 1, 5299, 2, 126, 41, 7, 181], [7, 10, 29, 633, 96, 4565, 57, 26, 69, 47], [79, 28, 1, 2, 21, 116, 5496, 0, 115, 0], [0, 42, 36, 126, 168, 2, 0, 5513, 15, 195], [105, 47, 54, 66, 100, 50, 72, 74, 4814, 313], [56, 25, 8, 159, 282, 0, 5, 159, 12, 5107]]"
LogReg,11000,0.3215,89.5236,"[[5300, 5, 26, 34, 16, 6, 112, 7, 53, 1], [1, 5310, 145, 316, 274, 65, 269, 71, 88, 116], [22, 19, 5562, 99, 10, 1, 42, 86, 45, 2], [5, 5, 43, 5562, 21, 43, 2, 87, 17, 34], [35, 5, 26, 1, 5296, 2, 126, 43, 8, 180], [7, 10, 30, 633, 101, 4560, 60, 27, 68, 43], [78, 28, 1, 1, 22, 113, 5500, 0, 115, 0], [0, 42, 36, 122, 178, 2, 0, 5522, 16, 179], [108, 50, 55, 69, 103, 51, 76, 78, 4791, 314], [56, 25, 8, 157, 288, 0, 5, 161, 14, 5099]]"
